Mean,Median,Mode,Kurtosis,Skewness,Standard Deviation,Variance,Standard Error,Max,Min,Sum,Range,2nd Quartile,RMS,Count,Shape Factor,Impulse Factor,K Factor,Condition
0.001050232,0.000180384,-0.023209315,0.550644337,0.049606136,0.108823936,0.011842649,0.001987175,0.45853427,-0.37543771,3.150694702,0.83397198,0.000180384,0.108829003,3000,1.295625436,5.458918533,0.237341046,Healthy
0.000211008,0.0010823,0.016956028,0.380579034,-0.056497739,0.102896794,0.01058775,0.001878943,0.38397586,-0.38313407,0.633025058,0.76710993,0.0010823,0.10289701,3000,1.284400669,4.792936643,0.267977811,Healthy
-0.000639318,0.001743705,0.024291614,0.47486959,0.02514542,0.104294902,0.010877427,0.001904473,0.45817351,-0.34320924,-1.917955184,0.80138275,0.001743705,0.104296862,3000,1.285549473,5.647386754,0.227636167,Healthy
-0.000552975,0.001202555,-0.053273194,0.26989478,0.028677491,0.098230597,0.00964925,0.001793736,0.39287475,-0.31963915,-1.658925057,0.7125139,0.001202555,0.098232153,3000,1.273202926,5.092113571,0.250034275,Healthy
-0.000601919,0.001202555,0.001202555,0.154981901,-0.039107334,0.100846194,0.010169955,0.001841498,0.3721908,-0.32589245,-1.805756876,0.69808325,0.001202555,0.10084799,3000,1.274943186,4.7053206,0.270957772,Healthy
-0.000849285,-0.001743705,-0.025253657,0.196166331,-0.007406683,0.101469358,0.010296031,0.001852877,0.43809083,-0.40838772,-2.547853619,0.84647855,-0.001743705,0.101472912,3000,1.267085438,5.470410751,0.231625283,Healthy
0.001353796,0.003367154,-0.01743705,0.194660383,-0.07259313,0.104575067,0.010935945,0.001909589,0.38421637,-0.36437419,4.061389331,0.74859056,0.003367154,0.10458383,3000,1.271351277,4.670645301,0.272200348,Healthy
0.000783946,0.002886132,-0.046779394,0.441146202,-0.087172874,0.110631614,0.012239354,0.002020184,0.41103333,-0.44061619,2.35183676,0.85164952,0.002886132,0.110634392,3000,1.277153229,5.08643271,0.251090165,Healthy
0.00122841,0.000481023,-0.001202555,0.369667017,-0.009298444,0.145219143,0.021088599,0.002651769,0.67763984,-0.52395326,3.68523029,1.2015931,0.000481023,0.145224338,3000,1.272044825,5.935563301,0.214309032,Flank Wear
-0.00055061,-0.003246899,-0.0697482,0.239887431,0.066992554,0.14024038,0.019667364,0.002560854,0.58780897,-0.52611786,-1.651829581,1.11392683,-0.003246899,0.140241461,3000,1.266842072,5.309850101,0.238583396,Flank Wear
